StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q1_17_TEXT,Q2,Q2_6_TEXT,Q3,Q4,Q5_1,Q5_2,Q5_3,Q5_4,Q7,Q7_10_TEXT,Q8_1,Q19_1,Q11_1,Q12,Q12
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please select your major. - Selected Choice,Please select your major. - Other - Text,Please select your class standing. - Selected Choice,Please select your class standing. - Other - Text,Do you use AI?,What AI services do you interact with in your academics?,"How many prompts a week do you type on these AI services? 
(Enter a numeric value) - ChatGPT","How many prompts a week do you type on these AI services? 
(Enter a numeric value) - Google Gemini","How many prompts a week do you type on these AI services? 
(Enter a numeric value) - Claude (Anthropic)","How many prompts a week do you type on these AI services? 
(Enter a numeric value) - None of the above",In what ways do you use the above selected models? You may select multiple answers. - Selected Choice,In what ways do you use the above selected models? You may select multiple answers. - Others: You may elaborate here. - Text,How many times more energy do you think is required to generate AI text prompts compared to a Google search? - Times more energy,How much water (in mL) do you think is required for cooling 1 prompt? - Amount of water in mL,How much do you think AI contributes to carbon dioxide (CO₂) emissions? For example: Training an AI model. - Tons of CO₂,How much do you think is a reasonable cost of training an AI Language Model?,How much time do you think it takes to build an AI Language Model?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID10""}","{""ImportId"":""QID10_17_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID9_6_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID1""}","{""ImportId"":""QID4_x1""}","{""ImportId"":""QID4_x2""}","{""ImportId"":""QID4_x3""}","{""ImportId"":""QID4_x4""}","{""ImportId"":""QID7""}","{""ImportId"":""QID7_10_TEXT""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}"
2026-02-13 15:42:30,2026-02-13 15:44:23,0,128.54.165.120,100,112,1,2026-02-13 15:44:23,R_1P512MrHHdpxDtv,,,,,34.0526,-118.2122,anonymous,EN,12,,4,,1,1,7,,,,"1,2,3,4,6,7,9",,5,8,383,4,6
2026-02-17 14:45:39,2026-02-17 14:46:50,0,128.54.205.197,100,71,1,2026-02-17 14:46:51,R_3QK6GEXKLyZBNal,,,,,32.8509,-117.2722,anonymous,EN,1,,4,,1,"1,2,3",10,40,20,,"1,3,5,7",,10,5,490,4,4
2026-02-17 14:47:02,2026-02-17 14:47:17,0,128.54.136.185,100,15,1,2026-02-17 14:47:18,R_6a7djmAWFYXC49j,,,,,33.7074,-117.7054,anonymous,EN,3,,4,,2,,,,,,,,,,,,
2026-02-17 15:02:01,2026-02-17 15:03:12,0,23.168.216.169,100,71,1,2026-02-17 15:03:13,R_1BQSdNDZkJvvvtY,,,,,37.751,-97.822,anonymous,EN,2,,3,,1,"1,2,3",250,250,250,,"1,2,3,4,5,6,7,8,9",,10,10,1000,5,3
2026-02-17 15:06:45,2026-02-17 15:08:05,0,69.196.47.104,100,80,1,2026-02-17 15:08:06,R_3hJRldnELfhpMFA,,,,,32.8595,-117.2124,anonymous,EN,17,Real Estate Development,4,,1,1,10,,,,"1,7",,10,10,1000,4,2
2026-02-17 15:06:43,2026-02-17 15:08:28,0,137.110.50.35,100,105,1,2026-02-17 15:08:29,R_3MRJxp8p4R9O7N7,,,,,32.8425,-117.2484,anonymous,EN,17,,4,,1,"1,2",5,20,,,"1,3",,10,5,559,4,2
2026-02-17 15:07:07,2026-02-17 15:08:35,0,128.54.14.73,100,87,1,2026-02-17 15:08:35,R_7Lt8IabULxV85vb,,,,,32.8595,-117.2124,anonymous,EN,7,,4,,1,,,,,,8,,6,5,201,4,6
2026-02-17 15:06:37,2026-02-17 15:08:36,0,137.110.201.83,100,119,1,2026-02-17 15:08:37,R_1NgXSNORoKwB5sX,,,,,32.8595,-117.2124,anonymous,EN,14,,3,,1,1,30,,,,"1,7,8,10",life inquiries,10,1,1000,4,3
2026-02-17 15:07:28,2026-02-17 15:08:54,0,169.228.73.18,100,85,1,2026-02-17 15:08:54,R_6Q6O9it4RHaMk7g,,,,,32.8425,-117.2484,anonymous,EN,4,,4,,1,"1,2",50,30,,,"1,3,4,5,7",,10,10,308,4,6
2026-02-17 15:09:16,2026-02-17 15:10:53,0,64.31.55.119,100,96,1,2026-02-17 15:10:53,R_6goxHyLQWRY9inq,,,,,34.0544,-118.244,anonymous,EN,3,,3,,1,"1,2",30,2,,,"1,2,3,4,6,7,8,9",,6,5,500,2,4
