StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q1_17_TEXT,Q2,Q2_6_TEXT,Q3,Q4,Q5_1,Q5_2,Q5_3,Q5_4,Q7,Q7_10_TEXT,Q8_1,Q19_1,Q11_1,Q12,Q12
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please select your major. - Selected Choice,Please select your major. - Other - Text,Please select your class standing. - Selected Choice,Please select your class standing. - Other - Text,Do you use AI?,What AI services do you interact with in your academics?,"How many prompts a week do you type on these AI services? 
(Enter a numeric value) - ChatGPT","How many prompts a week do you type on these AI services? 
(Enter a numeric value) - Google Gemini","How many prompts a week do you type on these AI services? 
(Enter a numeric value) - Claude (Anthropic)","How many prompts a week do you type on these AI services? 
(Enter a numeric value) - None of the above",In what ways do you use the above selected models? You may select multiple answers. - Selected Choice,In what ways do you use the above selected models? You may select multiple answers. - Others: You may elaborate here. - Text,How many times more energy do you think is required to generate AI text prompts compared to a Google search? - Times more energy,How much water (in mL) do you think is required for cooling 1 prompt? - Amount of water in mL,How much do you think AI contributes to carbon dioxide (CO₂) emissions? For example: Training an AI model. - Tons of CO₂,How much do you think is a reasonable cost of training an AI Language Model?,How much time do you think it takes to build an AI Language Model?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID10""}","{""ImportId"":""QID10_17_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID9_6_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID1""}","{""ImportId"":""QID4_x1""}","{""ImportId"":""QID4_x2""}","{""ImportId"":""QID4_x3""}","{""ImportId"":""QID4_x4""}","{""ImportId"":""QID7""}","{""ImportId"":""QID7_10_TEXT""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}"
2026-02-13 15:42:30,2026-02-13 15:44:23,IP Address,128.54.165.120,100,112,True,2026-02-13 15:44:23,R_1P512MrHHdpxDtv,,,,,34.0526,-118.2122,anonymous,EN,12,,Senior,,Yes,ChatGPT,7,,,,"Studying (Learning, exam preparation, tutoring, practice problems, flashcards),Conversational (Chatting, companionship, brainstorming, inquiring),Research (Finding sources, gathering data, citations),Writing (Essays, e-Mails, templates, tone detection/improvement, rewriting, editing),Summarization / Paraphrasing (Condensing articles, lectures, PDF’s, restructuring writing),Problem-Solving / Arithmetic: (Math, logic, step-by-step solutions),Creativity (Image generation, script-writing, stories)",,5,8,383,$1 Million - $10 Million,More than 24 months
2026-02-17 14:45:39,2026-02-17 14:46:50,IP Address,128.54.205.197,100,71,True,2026-02-17 14:46:51,R_3QK6GEXKLyZBNal,,,,,32.8509,-117.2722,anonymous,EN,Computer and information sciences,,Senior,,Yes,"ChatGPT,Google Gemini,Claude (Anthropic)",10,40,20,,"Studying (Learning, exam preparation, tutoring, practice problems, flashcards),Research (Finding sources, gathering data, citations),Coding (Programming assistance, debugging, examples),Problem-Solving / Arithmetic: (Math, logic, step-by-step solutions)",,10,5,490,$1 Million - $10 Million,6-12 months
2026-02-17 14:47:02,2026-02-17 14:47:17,IP Address,128.54.136.185,100,15,True,2026-02-17 14:47:18,R_6a7djmAWFYXC49j,,,,,33.7074,-117.7054,anonymous,EN,Biology/Chemistry/life sciences,,Senior,,No,,,,,,,,,,,,
2026-02-17 15:02:01,2026-02-17 15:03:12,IP Address,23.168.216.169,100,71,True,2026-02-17 15:03:13,R_1BQSdNDZkJvvvtY,,,,,37.751,-97.822,anonymous,EN,Data Science,,Junior,,Yes,"ChatGPT,Google Gemini,Claude (Anthropic)",250,250,250,,"Studying (Learning, exam preparation, tutoring, practice problems, flashcards),Conversational (Chatting, companionship, brainstorming, inquiring),Research (Finding sources, gathering data, citations),Writing (Essays, e-Mails, templates, tone detection/improvement, rewriting, editing),Coding (Programming assistance, debugging, examples),Summarization / Paraphrasing (Condensing articles, lectures, PDF’s, restructuring writing),Problem-Solving / Arithmetic: (Math, logic, step-by-step solutions),Planning / Scheduling: (Categorization, sorting, estimates),Creativity (Image generation, script-writing, stories)",,10,10,1000,$10 Million - $100 Million,3-6 months
2026-02-17 15:06:45,2026-02-17 15:08:05,IP Address,69.196.47.104,100,80,True,2026-02-17 15:08:06,R_3hJRldnELfhpMFA,,,,,32.8595,-117.2124,anonymous,EN,Other,Real Estate Development,Senior,,Yes,ChatGPT,10,,,,"Studying (Learning, exam preparation, tutoring, practice problems, flashcards),Problem-Solving / Arithmetic: (Math, logic, step-by-step solutions)",,10,10,1000,$1 Million - $10 Million,1-3 months
2026-02-17 15:06:43,2026-02-17 15:08:28,IP Address,137.110.50.35,100,105,True,2026-02-17 15:08:29,R_3MRJxp8p4R9O7N7,,,,,32.8425,-117.2484,anonymous,EN,Other,,Senior,,Yes,"ChatGPT,Google Gemini",5,20,,,"Studying (Learning, exam preparation, tutoring, practice problems, flashcards),Research (Finding sources, gathering data, citations)",,10,5,559,$1 Million - $10 Million,1-3 months
2026-02-17 15:07:07,2026-02-17 15:08:35,IP Address,128.54.14.73,100,87,True,2026-02-17 15:08:35,R_7Lt8IabULxV85vb,,,,,32.8595,-117.2124,anonymous,EN,Cognitive Science,,Senior,,Yes,,,,,,"Planning / Scheduling: (Categorization, sorting, estimates)",,6,5,201,$1 Million - $10 Million,More than 24 months
2026-02-17 15:06:37,2026-02-17 15:08:36,IP Address,137.110.201.83,100,119,True,2026-02-17 15:08:37,R_1NgXSNORoKwB5sX,,,,,32.8595,-117.2124,anonymous,EN,Engineering,,Junior,,Yes,ChatGPT,30,,,,"Studying (Learning, exam preparation, tutoring, practice problems, flashcards),Problem-Solving / Arithmetic: (Math, logic, step-by-step solutions),Planning / Scheduling: (Categorization, sorting, estimates),Others: You may elaborate here.",life inquiries,10,1,1000,$1 Million - $10 Million,3-6 months
